,regulatory,KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
0,Dapma7bEVm024648,K04374,"ATF4, CREB2; cyclic AMP-dependent transcription factor ATF-4",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
1,Dapma7bEVm024617,K09028,JUNB; transcription factor jun-B,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
2,Dapma7bEVm006506,K09035,"CMAF, MAF; transcription factor Maf",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
3,Dapma7bEVm008004,K09382,PAX1_9; paired box protein 1/9,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
4,Dapma7bEVm028665,K08031,PAX6; paired box protein 6,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
5,Dapma7bEVm007606,K08031,PAX6; paired box protein 6,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
6,Dapma7bEVm011721,K08031,PAX6; paired box protein 6,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
7,Dapma7bEVm014963,K09173,RFX1_2_3; regulatory factor X 1/2/3,Eukaryotic type,Other basic domains,RF-X
8,Dapma7bEVm019356,K09448,TEAD; transcriptional enhancer factor,Eukaryotic type,Helix-turn-helix,TEA domain
9,Dapma7bEVm029336,K09448,TEAD; transcriptional enhancer factor,Eukaryotic type,Helix-turn-helix,TEA domain
10,Dapma7bEVm028464,K23195,"CTCF, CTCFL; transcriptional repressor CTCF",Eukaryotic type,Zinc finger,Cys2His2 others
11,Dapma7bEVm010230,K23195,"CTCF, CTCFL; transcriptional repressor CTCF",Eukaryotic type,Zinc finger,Cys2His2 others
12,Dapma7bEVm018471,K04491,TCF7L2; transcription factor 7-like 2,Eukaryotic type,beta-Scaffold factors with minor groove contacts,HMG TCF-1
13,Dapma7bEVm023705,K24889,IRX; iroquois-class homeodomain protein IRX,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
14,Dapma7bEVm009954,K24889,IRX; iroquois-class homeodomain protein IRX,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
15,Dapma7bEVm029547,K11224,STAT5B; signal transducer and activator of transcription 5B,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
16,Dapma7bEVm027400,K11224,STAT5B; signal transducer and activator of transcription 5B,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
17,Dapma7bEVm000083,K11224,STAT5B; signal transducer and activator of transcription 5B,Eukaryotic type,beta-Scaffold factors with minor groove contacts,STAT
18,Dapma7bEVm013342,K24637,ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-],Eukaryotic type,Zinc finger,Cys2His2 BED
19,Dapma7bEVm024524,K24637,ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-],Eukaryotic type,Zinc finger,Cys2His2 BED
20,Dapma7bEVm015962,K24637,ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-],Eukaryotic type,Zinc finger,Cys2His2 BED
21,Dapma7bEVm028155,K24637,ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-],Eukaryotic type,Zinc finger,Cys2His2 BED
22,Dapma7bEVm006717,K08705,"NR5A3, ftz-f1; nuclear receptor subfamily 5 group A member 3",Eukaryotic type,Zinc finger,Cys4 Fushi tarazu-F1-like
23,Dapma7bEVm023193,K08544,"NR2C2, TR4; testicular receptor 4",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
24,Dapma7bEVm000404,K08544,"NR2C2, TR4; testicular receptor 4",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
25,Dapma7bEVm028193,K09067,ASCL; achaete-scute complex protein,Eukaryotic type,Basic helix-loop-helix (bHLH),Achaete-Scute
26,Dapma7bEVm008019,K09067,ASCL; achaete-scute complex protein,Eukaryotic type,Basic helix-loop-helix (bHLH),Achaete-Scute
27,Dapma7bEVm021067,K09090,"HESN; hairy and enhancer of split, invertebrate",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
28,Dapma7bEVm019730,K09090,"HESN; hairy and enhancer of split, invertebrate",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
29,Dapma7bEVm017948,K09090,"HESN; hairy and enhancer of split, invertebrate",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
30,Dapma7bEVm004911,K09090,"HESN; hairy and enhancer of split, invertebrate",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
31,Dapma7bEVm011370,K09090,"HESN; hairy and enhancer of split, invertebrate",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
32,Dapma7bEVm019624,K16672,HTH; homeobox protein homothorax,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
33,Dapma7bEVm010065,K16672,HTH; homeobox protein homothorax,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
34,Dapma7bEVm028433,K16672,HTH; homeobox protein homothorax,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
35,Dapma7bEVm017833,K02678,"ETS1, pnt; C-ets-1",Eukaryotic type,Helix-turn-helix,Tryptophan clusters Ets-type
36,Dapma7bEVm020993,K17696,"EMC; DNA-binding protein inhibitor ID, other",Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
37,Dapma7bEVm017883,K09381,PAX3_7; paired box protein 3/7,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
38,Dapma7bEVm005118,K09381,PAX3_7; paired box protein 3/7,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
39,Dapma7bEVm019215,K09381,PAX3_7; paired box protein 3/7,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
