,Daphnia_magna,Drosophilia_melanogaster,Homo_sapiens,Daphnia_pulex
0,Dapma7bEVm020240,,THAP9,
1,Dapma7bEVm022481,,,DAPPUDRAFT_124270
2,Dapma7bEVm029341,,,
3,Dapma7bEVm016833,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
4,Dapma7bEVm022524,,,
5,Dapma7bEVm020419,,,DAPPUDRAFT_322122
6,Dapma7bEVm017458,,,
7,Dapma7bEVm022538,,,
8,Dapma7bEVm020338,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
9,Dapma7bEVm021153,,,
10,Dapma7bEVm022547,,,DAPPUDRAFT_115991;DAPPUDRAFT_261325
11,Dapma7bEVm019587,,,
12,Dapma7bEVm020420,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
13,Dapma7bEVm022553,,,
14,Dapma7bEVm022555,,,
15,Dapma7bEVm020970,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
16,Dapma7bEVm029641,,,
17,Dapma7bEVm022587,,,DAPPUDRAFT_117229
18,Dapma7bEVm016671,,,DAPPUDRAFT_101485;DAPPUDRAFT_113866
19,Dapma7bEVm022079,,,
20,Dapma7bEVm020672,,,
21,Dapma7bEVm020863,,,DAPPUDRAFT_114378;DAPPUDRAFT_246816
22,Dapma7bEVm022637,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
23,Dapma7bEVm019309,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
24,Dapma7bEVm020424,,THAP9,
25,Dapma7bEVm020567,,C10orf56;ZCCHC24,DAPPUDRAFT_109390
26,Dapma7bEVm022648,,,DAPPUDRAFT_271149
27,Dapma7bEVm020463,,,DAPPUDRAFT_325309
28,Dapma7bEVm020755,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
29,Dapma7bEVm029370,,,
30,Dapma7bEVm019634,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,
31,Dapma7bEVm024659,,,DAPPUDRAFT_107312;DAPPUDRAFT_107313;DAPPUDRAFT_108378;DAPPUDRAFT_116576;DAPPUDRAFT_325310
32,Dapma7bEVm030045,,,DAPPUDRAFT_248403
33,Dapma7bEVm022752,,,
34,Dapma7bEVm022770,,,
35,Dapma7bEVm022802,FBgn0028931;FBgn0031874,ALG12;ZBED1;ZBED4;ZBED6,DAPPUDRAFT_316403
36,Dapma7bEVm022828,,,
37,Dapma7bEVm030062,,,
38,Dapma7bEVm020216,,H3.Y;H3F3A;H3F3B;H3F3C;HIST2H3A;HIST2H3C;HIST2H3D;HIST3H3,DAPPUDRAFT_231307;DAPPUDRAFT_235586;DAPPUDRAFT_235594;DAPPUDRAFT_235620;DAPPUDRAFT_235802;DAPPUDRAFT_246214;DAPPUDRAFT_255862;DAPPUDRAFT_304645;DAPPUDRAFT_43402;DAPPUDRAFT_43405;DAPPUDRAFT_43440;DAPPUDRAFT_43441;DAPPUDRAFT_43467;DAPPUDRAFT_43482;DAPPUDRAFT_43597;DAPPUDRAFT_43602;DAPPUDRAFT_43804;DAPPUDRAFT_43862;DAPPUDRAFT_43863;DAPPUDRAFT_43874;DAPPUDRAFT_44114;DAPPUDRAFT_44115;DAPPUDRAFT_44116;DAPPUDRAFT_44125;DAPPUDRAFT_44149;DAPPUDRAFT_44153;DAPPUDRAFT_67712
39,Dapma7bEVm011905,FBgn0035604;FBgn0036757;FBgn0261401;FBgn0261402,,DAPPUDRAFT_318335
40,Dapma7bEVm022892,,,
41,Dapma7bEVm022923,,,DAPPUDRAFT_270784;DAPPUDRAFT_334663;DAPPUDRAFT_335541
42,Dapma7bEVm022925,,,DAPPUDRAFT_106889
43,Dapma7bEVm022959,,,
44,Dapma7bEVm015407,FBgn0003884;FBgn0003885;FBgn0003886;FBgn0087040,TUBA1A;TUBA1B;TUBA1C;TUBA2;TUBA3C;TUBA3D;TUBA3E;TUBA4A;TUBA8;TUBAL3,DAPPUDRAFT_315805;DAPPUDRAFT_315806
45,Dapma7bEVm025302,,,
46,Dapma7bEVm024492,FBgn0030358,PDZD8,DAPPUDRAFT_236735
47,Dapma7bEVm023043,,,
48,Dapma7bEVm018431,,ANKK1;RIPK4;dik,DAPPUDRAFT_237704
49,Dapma7bEVm015816,FBgn0000239,GMPS,
50,Dapma7bEVm010256,,COL26A1;EMID1;EMILIN1;EMILIN2;EMILIN3;MMRN1;MMRN2,
51,Dapma7bEVm023169,,,
52,Dapma7bEVm023170,,,
53,Dapma7bEVm023190,,C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1,DAPPUDRAFT_328779;DAPPUDRAFT_334081
54,Dapma7bEVm015548,FBgn0002778;FBgn0028425;FBgn0039487;FBgn0039844,SLC7A11;SLC7A5;SLC7A6;SLC7A7;SLC7A8,DAPPUDRAFT_129136;DAPPUDRAFT_308208;DAPPUDRAFT_309272;DAPPUDRAFT_41191
55,Dapma7bEVm018978,FBgn0000239,GMPS,
