,Genes
0,Dapma7bEVm004153
1,Dapma7bEVm004154
2,Dapma7bEVm004155
3,Dapma7bEVm004156
4,Dapma7bEVm004157
5,Dapma7bEVm004158
6,Dapma7bEVm004159
7,Dapma7bEVm004160
8,Dapma7bEVm004161
9,Dapma7bEVm004162
10,Dapma7bEVm004163
11,Dapma7bEVm004164
12,Dapma7bEVm004165
13,Dapma7bEVm004166
14,Dapma7bEVm004168
15,Dapma7bEVm004169
16,Dapma7bEVm004170
17,Dapma7bEVm004171
18,Dapma7bEVm004172
19,Dapma7bEVm004173
20,Dapma7bEVm004174
21,Dapma7bEVm004175
22,Dapma7bEVm004176
23,Dapma7bEVm004177
24,Dapma7bEVm004178
25,Dapma7bEVm004179
26,Dapma7bEVm004180
27,Dapma7bEVm004181
28,Dapma7bEVm004182
29,Dapma7bEVm004183
30,Dapma7bEVm004184
31,Dapma7bEVm004185
32,Dapma7bEVm004186
33,Dapma7bEVm004187
34,Dapma7bEVm004188
35,Dapma7bEVm004189
36,Dapma7bEVm004190
37,Dapma7bEVm004191
38,Dapma7bEVm004192
39,Dapma7bEVm004193
40,Dapma7bEVm004194
41,Dapma7bEVm004195
42,Dapma7bEVm004196
43,Dapma7bEVm004197
44,Dapma7bEVm004198
45,Dapma7bEVm004199
46,Dapma7bEVm004200
47,Dapma7bEVm004201
48,Dapma7bEVm004202
49,Dapma7bEVm004203
50,Dapma7bEVm004204
51,Dapma7bEVm004205
52,Dapma7bEVm004206
53,Dapma7bEVm004207
54,Dapma7bEVm004208
55,Dapma7bEVm004209
56,Dapma7bEVm004210
57,Dapma7bEVm004211
58,Dapma7bEVm004212
59,Dapma7bEVm004213
60,Dapma7bEVm004214
61,Dapma7bEVm004215
62,Dapma7bEVm004216
63,Dapma7bEVm004217
64,Dapma7bEVm004218
65,Dapma7bEVm004219
66,Dapma7bEVm004220
67,Dapma7bEVm004221
68,Dapma7bEVm004222
69,Dapma7bEVm004223
70,Dapma7bEVm004224
71,Dapma7bEVm004225
72,Dapma7bEVm004226
73,Dapma7bEVm004227
74,Dapma7bEVm004228
75,Dapma7bEVm004229
76,Dapma7bEVm004230
77,Dapma7bEVm004231
78,Dapma7bEVm004232
79,Dapma7bEVm004233
80,Dapma7bEVm004234
81,Dapma7bEVm004235
82,Dapma7bEVm004236
83,Dapma7bEVm004237
84,Dapma7bEVm004238
85,Dapma7bEVm004239
86,Dapma7bEVm004240
87,Dapma7bEVm004241
