KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K04448,JUN; transcription factor AP-1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K09028,JUNB; transcription factor jun-B,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K04449,JUND; transcription factor jun-D,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K04379,FOS; proto-oncogene protein c-fos,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09029,FOSB; protein FosB,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K04502,FOSL1; fos-like antigen 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09030,FOSL2; fos-like antigen 2,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09031,"FOSLN; fos-like antigen, invertebrate",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09032,"ATF3, LRF1; activating transcription factor 3",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K21406,"ATF3, A3-3; activating transcription factor 3",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09033,JDP2; jun dimerization protein 2,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09034,BATF; ATF-like basic leucine zipper transcriptional factor,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fos"
K09035,"CMAF, MAF; transcription factor Maf",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
K07595,MAFA; transcription factor MAFA,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
K09036,MAFB; transcription factor MAFB,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
K09037,MAFF_G_K; transcription factor MAFF/G/K,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
K09038,NRL; neural retina-specific leucine zipper protein,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Maf"
K09039,NFE2; nuclear factor erythroid 2,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
K09040,NFE2L1_3; nuclear factor erythroid 2-related factor 1/3,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
K05638,"NFE2L2, NRF2; nuclear factor erythroid 2-related factor 2",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
K09041,"NFE2N, CNC; nuclear factor erythroid 2, invertebrate",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
K09042,BACH; transcription regulator BACH,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, NF-E2"
K09464,GCN4; general control protein GCN4,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fungal regulators"
K09043,YAP; AP-1-like transcription factor,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Fungal regulators"
K04450,"ATF2, CREBP1; cyclic AMP-dependent transcription factor ATF-2",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K09032,"ATF3, LRF1; activating transcription factor 3",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K04374,"ATF4, CREB2; cyclic AMP-dependent transcription factor ATF-4",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K09044,ATF5; activating transcription factor 5,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K09045,"ATF7, ATFA; activating transcription factor 7",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K09047,"CREB5, CREBPA; cyclic AMP-responsive element-binding protein 5",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K21548,CREBZF; ATF/CREB family transcription factor,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K09051,"SKO1, ATF1, PCR1; ATF/CREB family transcription factor",Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, CRE-BP/ATF"
K05870,CREB1; cyclic AMP-responsive element-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),CREB
K09048,CREB3; cyclic AMP-responsive element-binding protein 3,Eukaryotic type,Basic leucine zipper (bZIP),CREB
K09049,"ATF6B, CREBL1; cyclic AMP-dependent transcription factor ATF-6 beta",Eukaryotic type,Basic leucine zipper (bZIP),CREB
