regulatory	KO
Dapma7bEVm013349t1	
Dapma7bEVm020602t1	
Dapma7bEVm022081t1	
Dapma7bEVm021967t1	
Dapma7bEVm019237t1	K13126
Dapma7bEVm020391t1	K02263
Dapma7bEVm019472t1	K07509
Dapma7bEVm017024t1	K10352
Dapma7bEVm020748t1	K05759
Dapma7bEVm017573t1	
Dapma7bEVm020713t1	
Dapma7bEVm019576t1	
Dapma7bEVm019164t1	K03234
Dapma7bEVm017037t1	K12046
Dapma7bEVm019440t1	K00030
Dapma7bEVm017638t1	
Dapma7bEVm019262t1	K00261
Dapma7bEVm020677t1	K02900
Dapma7bEVm019847t1	K16197
Dapma7bEVm019585t1	K00616
Dapma7bEVm019425t1	K00010
Dapma7bEVm021255t1	K19770
Dapma7bEVm020984t1	
Dapma7bEVm021129t1	
Dapma7bEVm020155t1	
Dapma7bEVm019528t1	K00025
Dapma7bEVm024577t1	K12614
Dapma7bEVm017567t1	
Dapma7bEVm020864t1	
Dapma7bEVm020571t1	K02960
Dapma7bEVm024502t1	K14000
Dapma7bEVm019417t1	K07508
Dapma7bEVm017517t1	
Dapma7bEVm020384t1	K03956
Dapma7bEVm019550t1	K14753
Dapma7bEVm020296t1	
Dapma7bEVm024741t1	
Dapma7bEVm020740t1	
Dapma7bEVm018887t1	
Dapma7bEVm019540t1	K03522
Dapma7bEVm024591t1	K00415
Dapma7bEVm019614t1	K02148
Dapma7bEVm017523t1	K00161
Dapma7bEVm019970t1	K04097
Dapma7bEVm019865t1	K06497
Dapma7bEVm021665t1	K23490
Dapma7bEVm013009t1	K20914
Dapma7bEVm014432t1	K06509
Dapma7bEVm014372t1	K14691
Dapma7bEVm017049t1	
Dapma7bEVm016528t1	K00011
Dapma7bEVm017568t1	
Dapma7bEVm021735t1	K07253
Dapma7bEVm019783t1	K02895
Dapma7bEVm024616t1	K06627
Dapma7bEVm024558t1	K06519
Dapma7bEVm020207t1	
Dapma7bEVm019375t1	K10105
Dapma7bEVm013799t1	K00414
Dapma7bEVm019163t1	
Dapma7bEVm020195t1	
Dapma7bEVm019157t1	K05853
Dapma7bEVm019712t1	K00235
Dapma7bEVm020295t1	K13251
Dapma7bEVm014361t1	
Dapma7bEVm024669t1	
Dapma7bEVm020851t1	K13443
Dapma7bEVm019316t1	K00643
Dapma7bEVm020139t1	K00227
Dapma7bEVm017627t1	K06497
Dapma7bEVm017030t1	
Dapma7bEVm020119t1	K20526
Dapma7bEVm017527t1	K01298
Dapma7bEVm019955t1	K03626
Dapma7bEVm019146t1	K19720
Dapma7bEVm019552t1	K01363
Dapma7bEVm019666t1	K00022
Dapma7bEVm019517t1	K01899
Dapma7bEVm019426t1	K03953
Dapma7bEVm017619t1	K10949
Dapma7bEVm019446t1	
Dapma7bEVm019404t1	K01679
Dapma7bEVm020900t1	K02974
Dapma7bEVm017486t1	
Dapma7bEVm019871t1	K00008
Dapma7bEVm024570t1	
Dapma7bEVm019564t1	K00162
Dapma7bEVm020413t1	K03964
Dapma7bEVm021031t1	
Dapma7bEVm017644t1	K03937
Dapma7bEVm025313t1	K18710
Dapma7bEVm017680t1	
Dapma7bEVm019406t1	K14452
Dapma7bEVm020194t1	
Dapma7bEVm017509t1	
